"Nazwa firmy","Nazwa skrócona","Ulica, numer",Miasto,"Kod pocztowy","Osoby kontaktowe","Nowe województwo",Powiat,Gmina,"Stare województwo",Telefon(y),Fax(y),"Forma własności","Forma prawna",Email,WWW,Zatrudnienie,"Obrót roczny","Rok założenia","NACE (EKD)",SIC,"Opis działalności"
"Apteka PANACEUM",,"Przemysłowa 12",Wągrowiec,62-342,"
Halina Grabarczyk
Andrzej Grabarczyk
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2645043,,prywatna,"zakład prywatny bez formy prawnej",,,2,,2001,"<span>52.31</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5231%20apteki"">Apteki</a>",<span>5912</span>Apteki,"leki gotowe"
"Mechanika Maszyn i Urządzeń Rolniczych",,"Przemysłowa 12",Wągrowiec,62-844,"Tomasz Pinkowski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2662460 6626386",(67)2660360,prywatna,"zakład prywatny bez formy prawnej","<a title=""@mmiur.com"">biuro</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.mmiur.com"">www.mmiur.com</a>",100,,1984,"
<span>29.32</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2932%20produkcja%20maszyn%20dla%20rolnictwa%20i%20lesnictwa%20bez%20ciagnikow"">Produkcja maszyn dla rolnictwa i leśnictwa (bez ciągników)</a>
<span>51.66</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5166%20sprzedaz%20hurtowa%20maszyn%20i%20urzadzen%20rolniczych%20lacznie%20ze%20sprzedaza%20ciagnikow"">Sprzedaż hurtowa maszyn i urządzeń rolniczych, łącznie ze sprzedażą ciągników</a>
","
<span>3523</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3523%20maszyny%20i%20sprzet%20rolniczy%20produkcja"">Maszyny i sprzęt rolniczy, produkcja</a>
<span>3524</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3524%20maszyny%20i%20ciagniki%20ogrodowe%20produkcja"">Maszyny i ciągniki ogrodowe, produkcja</a>
<span>508302</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC508302%20sprzet%20i%20maszyny%20ogrodnicze%20kosiarki%20do%20trawy%20hurt"">Sprzęt i maszyny ogrodnicze, kosiarki do trawy, hurt</a>
<span>508203</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC508203%20sprzet%20ogolnobudowlany%20hurt"">Sprzęt ogólnobudowlany, hurt</a>
","
części zamienne do kombajnów (Bizon)
części do kosiarek rotacyjnych, części do pługów
części do sieczkarni, części do rozrzutników obornika

"
"Apteka Pałucka",,"Przemysłowa 12",Wągrowiec,62-233,"mgr farm. Danuta Zdrzałka",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2625029,,prywatna,"zakład prywatny bez formy prawnej",,,2,,,"<span>52.31</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5231%20apteki"">Apteki</a>",<span>5912</span>Apteki,"leki gotowe"
"DOR-MED mgr Waldemar Lipiński - Oddział",,"Przemysłowa 12",Wągrowiec,62-514,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2661360,,prywatna,"zakład prywatny bez formy prawnej",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.dor-med.pl"">www.dor-med.pl</a>",,,,"
<span>52.32</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5232%20sprzedaz%20detaliczna%20artykulow%20medycznych%20i%20sprzetu%20ortopedycznego"">Sprzedaż detaliczna artykułów medycznych i sprzętu ortopedycznego</a>
<span>85.12.6</span>Prywatne praktyki lekarskie
","
<span>599909</span>Aparatura i wyposażenie medyczne, handel detaliczny
<span>801199</span>Gabinety lekarskie, osobno nie wymienione
","
protetyka słuchu: badanie, dobór oraz przegląd aparatów słuchowych

"
"Komenda Powiatowa Państwowej Straży Pożarnej",KPPSP,"Przemysłowa 12",Wągrowiec,62-232,"kom. mł. bryg. mgr inż. Arkadiusz Wójcik",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2641841,(67)2641841,"Skarb Państwa","państwowa jednostka organizacyjna","<a title=""@psp.wlkp.pl"">kppspwagrowiec</a>","
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.kpptp.wagrowiec.prv.pl"">www.kpptp.wagrowiec.prv.pl</a>
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.qsp.wagrowied.webpark.pl"">www.qsp.wagrowied.webpark.pl</a>
",,,,"<span>75.25</span>Działalność straży pożarnej","<span>9224</span>Straż pożarna","


"
"Tłumacz Przysięgły Języka Niemieckiego",,"Przybyszewego 6",Wągrowiec,62-954,"Alina Śróda",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2695590 (699)294691",(67)2695590,prywatna,"zakład prywatny bez formy prawnej",,,1,"50,000 zł.",1992,<span>74.83.5</span>Tłumaczenia,"<span>733899</span>Usługi sekretarskie, protokolanckie, osobno nie wymienione","


"
"Grupa SILIKATY Sp. z o.o. - Zakład Przysieczyn",,"Przysieczyn 5",Wągrowiec,62-453,"dyr. Jarosław Kaniewski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2681681 8488328","(67)2681681 8488328",prywatna,"spółka z o.o.","<a title=""@grwpasilikaty.pl"">sprzedazrrzysieczyn</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.grwpasilikaty.pl"">www.grwpasilikaty.pl</a>",50,,1965,"
<span>26.61.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE266111%20produkcja%20pustakow%20z%20betonu%20lub%20ze%20sztucznego%20kamienia"">Produkcja pustaków z betonu lub ze sztucznego kamienia</a>
<span>26.61.13</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE266113%20produkcja%20belek%20plyt%20i%20slupow%20z%20betonu%20lub%20ze%20sztucznego%20kamienia"">Produkcja belek, płyt i słupów z betonu lub ze sztucznego kamienia</a>
","
<span>3251</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3251%20cegly%20pustaki%20dachowka%20produkcja"">Cegły, pustaki, dachówka, produkcja</a>
<span>3271</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3271%20plyty%20i%20pustaki%20betonowe%20produkcja"">Płyty i pustaki betonowe, produkcja</a>
","wyroby silikatowe"
"Martyna Sp. z o.o. - Zakład Produkcyjny",,"Rąbczyn 23",Wągrowiec,62-622,"Waldemar Chudzik",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2676279,(67)2676279,prywatna,"spółka z o.o.",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.martyna.com.pl"">www.martyna.com.pl</a>",,,,"<span>36.14.14</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE361414%20produkcja%20mebli%20do%20ogrodow"">Produkcja mebli do ogrodów</a>","<span>251107</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC251107%20meble%20drewniane%20ogrodowe%20produkcja"">Meble drewniane ogrodowe, produkcja</a>","
meble ogrodowe

"
Gimnazjum,,"Rąbczyn 62",Wągrowiec,62-953,"dyr. Grzegorz Tomaszewski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2626221,(67)2626221,komunalna,"gminna samorządowa jednostka organizacyjna","<a title=""@wp.pl"">gimrabczyn</a>",,,,2001,"
<span>80.12</span>Szkoły podstawowe
<span>80.11</span>Wychowanie przedszkolne
","<span>8211</span>Szkoły podstawowe i średnie ogólnokształcące",
"Sklep Spożywczo-Przemysłowy Barbara Bąkowska",,"Rąbczyn 64",Wągrowiec,62-734,"Barbara Bąkowska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2666267,,prywatna,"zakład prywatny bez formy prawnej",,,,,1990,"
<span>52.27</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5227%20sklepy%20spozywcze"">Sklepy spożywcze</a>
<span>52.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5233%20sprzedaz%20detaliczna%20kosmetykow%20i%20artykulow%20toaletowych%20i%20srodkow%20czystosci%20chemii%20gospodarczej"">Sprzedaż detaliczna kosmetyków i artykułów toaletowych i środków czystości (chemii gospodarczej)</a>
<span>64.11</span>Poczta państwowa
","
<span>5411</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5411%20sklepy%20spozywcze"">Sklepy spożywcze</a>
<span>599913</span>Kosmetyki i przybory toaletowe, handel detaliczny
<span>4311</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4311%20poczta%20polska"">Poczta Polska</a>
","
agencja pocztowa

"
"Sklep Spożywczo-Przemysłowy",,Rąbczyn,Wągrowiec,62-123,"Barbara Bąkowska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)615205,,prywatna,"zakład prywatny bez formy prawnej",,,3,,,"
<span>52.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5233%20sprzedaz%20detaliczna%20kosmetykow%20i%20artykulow%20toaletowych%20i%20srodkow%20czystosci%20chemii%20gospodarczej"">Sprzedaż detaliczna kosmetyków i artykułów toaletowych i środków czystości (chemii gospodarczej)</a>
<span>52.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE522%20sprzedaz%20detaliczna%20zywnosci%20napojow%20i%20wyrobow%20tytoniowych%20w%20wyspecjalizowanych%20sklepach"">Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych w wyspecjalizowanych sklepach</a>
","
<span>541199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC541199%20sklepy%20spozywcze%20osobno%20nie%20wymienione"">Sklepy spożywcze, osobno nie wymienione</a>
<span>599913</span>Kosmetyki i przybory toaletowe, handel detaliczny
",
Piekarnictwo-Cukiernictwo,,"Reja 2a",Wągrowiec,62-733,"
Urszula Czarnecka
Henryk Czarnecki
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2655659,,prywatna,"zakład prywatny bez formy prawnej",,,7,,1991,"
<span>52.24.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52241%20sprzedaz%20detaliczna%20chleba%20i%20innego%20pieczywa"">Sprzedaż detaliczna chleba i innego pieczywa</a>
<span>15.82.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE15822%20produkcja%20ciast%20i%20ciastek%20o%20przedluzonej%20trwalosci"">Produkcja ciast i ciastek o przedłużonej trwałości</a>
","
<span>5261</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5261%20sklepy%20z%20wyposazeniem%20ogrodniczym"">Sklepy z wyposażeniem ogrodniczym</a>
<span>205102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC205102%20ciasta%20placki%20torty%20itp%20%20produkcja"">Ciasta, placki, torty itp., produkcja</a>
","


"
"Zakład Stolarski - Usługi Pogrzebowe",,"Reja 8",Wągrowiec,62-512,"Krzysztof Bucholc",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2611319,,prywatna,"zakład prywatny bez formy prawnej",,,3,"500,000 zł.",1982,"
<span>93.03</span>Zakłady pogrzebowe i usługi pokrewne
<span>20.45</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2045%20produkcja%20trumien"">Produkcja trumien</a>
","
<span>7261</span>Usługi pogrzebowe, krematoria
<span>3995</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3995%20trumny%20produkcja"">Trumny, produkcja</a>
","
pogrzebowe
produkcja trumien
"
"Sprzedaż i Serwis Wyrobów Firmowych Stihl",,"Reja 23a",Wągrowiec,62-452,"Włodzimierz Żak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2645748,(67)2645748,prywatna,"zakład prywatny bez formy prawnej","<a title=""@list.pl"">zak</a>",,1,,1990,"
<span>51.65</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5165%20sprzedaz%20hurtowa%20pomocniczych%20maszyn%20i%20urzadzen%20dla%20przemyslu%20handlu%20i%20transportu%20wodnego"">Sprzedaż hurtowa pomocniczych maszyn i urządzeń dla przemysłu, handlu i transportu wodnego</a>
<span>52.46.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52464%20sprzedaz%20detaliczna%20materialow%20i%20sprzetu%20dla%20majsterkowiczow"">Sprzedaż detaliczna materiałów i sprzętu dla majsterkowiczów</a>
","
<span>508302</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC508302%20sprzet%20i%20maszyny%20ogrodnicze%20kosiarki%20do%20trawy%20hurt"">Sprzęt i maszyny ogrodnicze, kosiarki do trawy, hurt</a>
<span>526101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC526101%20sprzet%20ogrodniczy%20handel%20detaliczny"">Sprzęt ogrodniczy, handel detaliczny</a>
<span>507203</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC507203%20elektronarzedzia%20i%20akcesoria%20hurt"">Elektronarzędzia i akcesoria, hurt</a>
<span>525101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC525101%20narzedzia%20handel%20detaliczny"">Narzędzia, handel detaliczny</a>
",
"Przedsiębiorstwo Usługowo-Handlowe MAG","PUH MAG","Reja 24",Wągrowiec,62-514,"Longina Staniewska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2665460 (606)763266",(67)2665460,prywatna,"zakład prywatny bez formy prawnej",,,,,1992,"
<span>51.54.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51543%20sprzedaz%20hurtowa%20sprzetu%20i%20wyposazenia%20grzejnego"">Sprzedaż hurtowa sprzętu i wyposażenia grzejnego</a>
<span>45.33.31</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE453331%20zakladanie%20przewodow%20i%20urzadzen%20grzewczych"">Zakładanie przewodów i urządzeń grzewczych</a>
","
<span>507402</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC507402%20sprzet%20i%20wyposazenie%20c%20o%20%20hurt"">Sprzęt i wyposażenie c.o., hurt</a>
<span>171101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC171101%20zakladanie%20piecow%20i%20kotlow"">Zakładanie pieców i kotłów</a>
<span>171104</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC171104%20zakladanie%20instalacji%20grzewczych%20i%20klimatyzacji"">Zakładanie instalacji grzewczych i klimatyzacji</a>
","


"
"Apteka Cysterska",,"Reja 26",Wągrowiec,62-954,"
Halina Tomaszewska
Grzegorz Tomaszewski
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2665460,,prywatna,"zakład prywatny bez formy prawnej",,,3,,1991,"<span>52.31.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52312%20apteki"">Apteki</a>",<span>5912</span>Apteki,"
leki recepturowe

"
"Sklep Wielobranżowy-Przemysłowy Papierek",Papierek,"Reja 31",Wągrowiec,62-953,"
Teresa Banaszak
Zygmunt Banaszak
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2620127,(67)2620127,prywatna,"zakład prywatny bez formy prawnej",,,2,,1990,"
<span>52.47.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52473%20sprzedaz%20detaliczna%20artykulow%20pismiennych"">Sprzedaż detaliczna artykułów piśmiennych</a>
<span>52.48.55</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524855%20sprzedaz%20detaliczna%20gier%20i%20zabawek"">Sprzedaż detaliczna gier i zabawek</a>
","
<span>5943</span>Sklepy papiernicze
<span>599917</span>Przybory i pomoce szkolne, handel detaliczny
<span>594502</span>Sklepy z zabawkami i grami
","
artykuły szkolne
artykuły biurowe
zabawki

"
"Studio Urody Afrodyta",,"Reja 57",Wągrowiec,62-954,"Joanna Sobkowiak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(503)094898,,prywatna,"zakład prywatny bez formy prawnej","<a title=""@migland.pl"">afrodyta</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.dfrodyta.migland.pl"">www.dfrodyta.migland.pl</a>",,,,"<span>93.02.2</span>Salony kosmetyczne, masaż kosmetyczny","<span>723101</span>Salony kosmetyczne","


"
"Lobo Media Sp. z o.o. - MODEL 1",,"Reja 59, CH Albert",Wągrowiec,62-012,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2678472,(67)2678472,prywatna,"spółka z o.o.","<a title=""@lobo.pl"">wagrowifc</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.moeel.com.pl"">www.moeel.com.pl</a>",,,,"
<span>52.45.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52451%20sprzedaz%20detaliczna%20elektrycznych%20artykulow%20i%20sprzetu%20gospodarstwa%20domowego"">Sprzedaż detaliczna elektrycznych artykułów i sprzętu gospodarstwa domowego</a>
<span>52.45.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52452%20sprzedaz%20detaliczna%20sprzetu%20radiowo%20telewizyjnego"">Sprzedaż detaliczna sprzętu radiowo-telewizyjnego</a>
<span>52.48.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524811%20sprzedaz%20detaliczna%20artykulow%20i%20sprzetu%20biurowego"">Sprzedaż detaliczna artykułów i sprzętu biurowego</a>
","
<span>572299</span>Zmechanizowany sprzęt gospodarstwa domowego, osobno nie wymieniony, handel detaliczny
<span>573199</span>Sklepy z domowym sprzętem elektronicznym, osobno nie wymienione
<span>5946</span>Sklepy z artykułami fotograficznymi
<span>599906</span>Telefony i sprzęt łącznościowy, handel detaliczny
","


"
"Sklep Spożywczy",,"Reja 61b",Wągrowiec,62-014,"Mariola Litwa",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)269729,,prywatna,"zakład prywatny bez formy prawnej",,,1,,1994,"<span>52.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE522%20sprzedaz%20detaliczna%20zywnosci%20napojow%20i%20wyrobow%20tytoniowych%20w%20wyspecjalizowanych%20sklepach"">Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych w wyspecjalizowanych sklepach</a>","<span>541199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC541199%20sklepy%20spozywcze%20osobno%20nie%20wymienione"">Sklepy spożywcze, osobno nie wymienione</a>","


"
"Fabryka Mebli BODZIO Bogdan Szewczyk S.J. - Salon Firmowy","BODZIO S.J. - Salon Firmowy","Reja 81",Wągrowiec,62-453,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2685989,(67)2685989,prywatna,"spółka jawna",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.bodzio.pl"">www.bodzio.pl</a>",5,,,"<span>52.44.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52441%20sprzedaz%20detaliczna%20mebli%20i%20umeblowania"">Sprzedaż detaliczna mebli i umeblowania</a>","<span>5712</span>Sklepy meblowe","


"
"Salon Zdrowia i Urody La Perla",,"Rgielska 1",Wągrowiec,62-014,"Małgorzata Seroka-Jackowska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2697998,,prywatna,"zakład prywatny bez formy prawnej","<a title=""@lapeula.com.pl"">salon</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.lapeula.com.pl"">www.lapeula.com.pl</a>",2,,2003,"
<span>93.02.2</span>Salony kosmetyczne, masaż kosmetyczny
<span>93.04</span>Usługi mające na celu zapewnienie komfortu fizycznego
","
<span>723101</span>Salony kosmetyczne
<span>729902</span>Salony masażu, łaźnie parowe
","
solarium, sauna świetlna
masaż rolletic
LHE Laser, Doppler

"
"Gabinet Kosmetyczny AGNES",,"Rgielska 34a",Wągrowiec,62-622,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2670375,,prywatna,"zakład prywatny bez formy prawnej","<a title=""@o2.pl"">zhuagnes</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://winnebbgo.w.interia.pl"">winnebbgo.w.interia.pl</a>",,,,"
<span>93.02.2</span>Salony kosmetyczne, masaż kosmetyczny
<span>93.04</span>Usługi mające na celu zapewnienie komfortu fizycznego
","<span>7231</span>Gabinety kosmetyczne i salony piękności","
piercing

"
